,tag_id,value,time_delta
3,1562837846563,314.34000000000003,0 days 00:00:00
7,1562837846563,314.31,0 days 00:00:00.010000
11,1562837846563,314.43,0 days 00:00:00.020000
15,1562837846563,314.34000000000003,0 days 00:00:00.030000
19,1562837846563,314.31,0 days 00:00:00.040000
23,1562837846563,314.55,0 days 00:00:00.050000
27,1562837846563,314.46000000000004,0 days 00:00:00.060000
31,1562837846563,314.27,0 days 00:00:00.070000
35,1562837846563,314.58000000000004,0 days 00:00:00.080000
39,1562837846563,314.58000000000004,0 days 00:00:00.090000
43,1562837846563,295.61,0 days 00:00:00.100000
47,1562837846563,315.78,0 days 00:00:00.110000
51,1562837846563,316.78999999999996,0 days 00:00:00.120000
55,1562837846563,319.03,0 days 00:00:00.130000
59,1562837846563,319.22,0 days 00:00:00.140000
63,1562837846563,309.61,0 days 00:00:00.150000
67,1562837846563,289.19,0 days 00:00:00.160000
71,1562837846563,322.38,0 days 00:00:00.170000
75,1562837846563,327.2,0 days 00:00:00.180000
79,1562837846563,337.51,0 days 00:00:00.190000
83,1562837846563,338.65,0 days 00:00:00.200000
87,1562837846563,338.43,0 days 00:00:00.210000
91,1562837846563,338.31,0 days 00:00:00.220000
95,1562837846563,338.25,0 days 00:00:00.230000
99,1562837846563,338.53,0 days 00:00:00.240000
103,1562837846563,338.62,0 days 00:00:00.250000
107,1562837846563,338.65,0 days 00:00:00.260000
111,1562837846563,338.56,0 days 00:00:00.270000
115,1562837846563,338.56,0 days 00:00:00.280000
119,1562837846563,338.4,0 days 00:00:00.290000
123,1562837846563,338.37,0 days 00:00:00.300000
127,1562837846563,338.37,0 days 00:00:00.310000
131,1562837846563,337.88,0 days 00:00:00.320000
135,1562837846563,337.78999999999996,0 days 00:00:00.330000
139,1562837846563,337.48,0 days 00:00:00.340000
143,1562837846563,336.59000000000003,0 days 00:00:00.350000
147,1562837846563,336.53,0 days 00:00:00.360000
151,1562837846563,336.15999999999997,0 days 00:00:00.370000
155,1562837846563,335.06,0 days 00:00:00.380000
159,1562837846563,334.84000000000003,0 days 00:00:00.390000
163,1562837846563,333.89,0 days 00:00:00.400000
167,1562837846563,332.69,0 days 00:00:00.410000
171,1562837846563,332.6,0 days 00:00:00.420000
175,1562837846563,331.68,0 days 00:00:00.430000
179,1562837846563,331.37,0 days 00:00:00.440000
183,1562837846563,330.58000000000004,0 days 00:00:00.450000
187,1562837846563,329.99,0 days 00:00:00.460000
191,1562837846563,329.26,0 days 00:00:00.470000
195,1562837846563,328.95,0 days 00:00:00.480000
199,1562837846563,327.97,0 days 00:00:00.490000
203,1562837846563,327.84000000000003,0 days 00:00:00.500000
207,1562837846563,326.71000000000004,0 days 00:00:00.510000
211,1562837846563,326.28,0 days 00:00:00.520000
215,1562837846563,325.39,0 days 00:00:00.530000
219,1562837846563,325.23,0 days 00:00:00.540000
223,1562837846563,324.22,0 days 00:00:00.550000
227,1562837846563,324.34000000000003,0 days 00:00:00.560000
231,1562837846563,323.45,0 days 00:00:00.570000
235,1562837846563,322.87,0 days 00:00:00.580000
239,1562837846563,322.87,0 days 00:00:00.590000
243,1562837846563,321.49,0 days 00:00:00.600000
247,1562837846563,321.37,0 days 00:00:00.610000
251,1562837846563,320.11,0 days 00:00:00.620000
255,1562837846563,320.14,0 days 00:00:00.630000
259,1562837846563,320.02,0 days 00:00:00.640000
263,1562837846563,319.28,0 days 00:00:00.650000
267,1562837846563,318.94,0 days 00:00:00.660000
271,1562837846563,318.14,0 days 00:00:00.670000
275,1562837846563,317.99,0 days 00:00:00.680000
279,1562837846563,317.87,0 days 00:00:00.690000
283,1562837846563,317.34000000000003,0 days 00:00:00.700000
287,1562837846563,316.06,0 days 00:00:00.710000
291,1562837846563,316.06,0 days 00:00:00.720000
295,1562837846563,271.78999999999996,0 days 00:00:00.730000
299,1562837846563,270.96000000000004,0 days 00:00:00.740000
303,1562837846563,269.73,0 days 00:00:00.750000
